x,y,z
94.5,19.5,31.42729411764706
95.5,20.5,31.42729411764706
96.5,20.5,31.42729411764706
97.5,20.5,31.42729411764706
98.5,19.5,31.42729411764706
99.5,18.5,31.42729411764706
100.5,18.5,31.42729411764706
101.5,18.5,31.42729411764706
102.5,19.5,31.42729411764706
103.5,18.5,31.42729411764706
103.5,17.5,31.42729411764706
104.5,16.5,31.42729411764706
105.5,15.5,31.42729411764706
106.5,14.5,31.42729411764706
107.5,14.5,31.42729411764706
108.5,13.5,31.42729411764706
109.5,12.5,31.42729411764706
109.5,11.5,31.42729411764706
109.5,10.5,31.42729411764706
110.5,9.5,31.42729411764706
111.5,9.5,31.42729411764706
112.5,9.5,31.42729411764706
113.5,8.5,31.42729411764706
114.5,7.5,31.42729411764706
115.5,6.5,31.42729411764706
116.5,6.5,31.42729411764706
117.5,6.5,31.42729411764706
118.5,6.5,31.42729411764706
119.5,6.5,31.42729411764706
120.5,7.5,31.79105882352941
121.5,8.5,31.79105882352941
122.5,9.5,32.154823529411765
123.5,9.5,32.154823529411765
124.5,10.5,32.154823529411765
125.5,11.5,32.88235294117647
126.5,12.5,33.246117647058824
127.5,13.5,33.246117647058824
127.5,14.5,33.246117647058824
126.5,15.5,33.246117647058824
127.5,16.5,33.246117647058824
128.5,17.5,33.60988235294118
129.5,18.5,33.60988235294118
130.5,19.5,33.60988235294118
131.5,19.5,33.60988235294118
132.5,20.5,33.60988235294118
133.5,19.5,33.60988235294118
134.5,19.5,33.60988235294118
135.5,19.5,33.60988235294118
136.5,19.5,33.60988235294118
137.5,19.5,33.60988235294118
138.5,18.5,33.60988235294118
139.5,18.5,33.60988235294118
140.5,18.5,33.60988235294118
141.5,18.5,33.60988235294118
142.5,18.5,33.60988235294118
143.5,19.5,33.60988235294118
144.5,20.5,33.60988235294118
145.5,19.5,33.60988235294118
146.5,18.5,33.60988235294118
147.5,17.5,33.60988235294118
148.5,17.5,33.60988235294118
149.5,16.5,33.60988235294118
150.5,15.5,33.60988235294118
149.5,14.5,33.60988235294118
148.5,13.5,33.60988235294118
